size,mmult,mmultO3,mmult_simd,mmult_simdO3 
244,0.105509,0.023867,0.089159,0.010182
245,0.125480,0.029196,0.089958,0.011073
246,0.120727,0.026384,0.091660,0.010513
247,0.120979,0.029625,0.092083,0.011175
248,0.106504,0.025091,0.093555,0.010806
249,0.124060,0.030516,0.094264,0.011390
250,0.126599,0.027556,0.095184,0.011019
251,0.137624,0.030724,0.096345,0.011543
252,0.116045,0.026327,0.097115,0.011151
253,0.128095,0.031333,0.098635,0.011757
254,0.130085,0.028595,0.099753,0.011459
255,0.129950,0.032077,0.101004,0.011860
256,0.180195,0.049414,0.102035,0.011654
257,0.138288,0.038742,0.104436,0.012399
258,0.127131,0.030054,0.123802,0.013687
259,0.129135,0.034147,0.105638,0.012478
260,0.123190,0.029147,0.106817,0.012265
261,0.131984,0.034921,0.107966,0.012746
262,0.134201,0.031748,0.109215,0.012554
263,0.135809,0.035836,0.110805,0.013035
264,0.127614,0.042996,0.118640,0.013142
265,0.154098,0.040760,0.113519,0.013424
266,0.141688,0.033356,0.114586,0.013142
267,0.144285,0.037613,0.124247,0.013831
268,0.136464,0.031857,0.117203,0.013417
269,0.148541,0.038101,0.118632,0.014111
270,0.148595,0.034526,0.120089,0.013689
271,0.151413,0.038972,0.121135,0.020525
272,0.153491,0.038146,0.143718,0.015610
273,0.156436,0.040181,0.124167,0.015017
274,0.157811,0.037239,0.125673,0.014579
275,0.159599,0.041279,0.126810,0.014861
276,0.162049,0.046041,0.130772,0.014855
277,0.162478,0.041565,0.129358,0.015249
278,0.172229,0.038737,0.130806,0.015095
279,0.168432,0.043255,0.132455,0.015543
280,0.153084,0.036197,0.133952,0.015402
281,0.173430,0.044207,0.135019,0.016109
282,0.176450,0.039901,0.136732,0.015546
283,0.199041,0.044659,0.143167,0.017796
284,0.166255,0.038193,0.165281,0.016844
285,0.182487,0.046129,0.149687,0.016809
286,0.186482,0.041859,0.142731,0.016301
287,0.187657,0.047378,0.144227,0.026863
288,0.193008,0.047857,0.148716,0.016725
289,0.191004,0.048171,0.147002,0.017227
290,0.211153,0.043528,0.149091,0.017195
291,0.194763,0.049335,0.151020,0.017999
292,0.180627,0.041509,0.152069,0.017528
293,0.198724,0.049545,0.170087,0.018067
294,0.205009,0.045392,0.154876,0.017620
295,0.205932,0.050919,0.156798,0.018435
296,0.180377,0.042598,0.157776,0.017952
297,0.206866,0.051778,0.159354,0.018782
298,0.211021,0.046615,0.154996,0.015680
299,0.175330,0.044318,0.139737,0.016515
300,0.210912,0.045001,0.143812,0.016319
301,0.186677,0.046072,0.141800,0.017223
302,0.221036,0.048933,0.167912,0.019306
303,0.219912,0.054574,0.176398,0.020104
304,0.215132,0.056876,0.171349,0.019646
305,0.223989,0.055587,0.175434,0.020204
306,0.228947,0.050747,0.174267,0.019769
307,0.229794,0.057553,0.176036,0.020452
308,0.211870,0.048531,0.177667,0.020067
309,0.233152,0.057887,0.182033,0.020984
310,0.237984,0.052728,0.180793,0.020486
311,0.238667,0.059337,0.182554,0.021314
312,0.210135,0.049805,0.184916,0.021086
313,0.248162,0.061266,0.208774,0.021966
314,0.250404,0.055308,0.188006,0.021400
315,0.251333,0.063112,0.190802,0.022389
316,0.230059,0.052896,0.192164,0.021841
317,0.264188,0.068001,0.194267,0.022614
318,0.274873,0.061165,0.196404,0.022673
319,0.264919,0.065277,0.198674,0.023118
320,0.278249,0.075540,0.199993,0.022583
321,0.274824,0.065502,0.201212,0.023542
322,0.267579,0.059162,0.202806,0.022966
323,0.267327,0.066733,0.204848,0.023777
324,0.285726,0.057288,0.207459,0.036883
325,0.278778,0.067708,0.208573,0.024331
326,0.300853,0.064621,0.211236,0.024418
327,0.283831,0.086388,0.219914,0.024998
328,0.245739,0.058109,0.215201,0.024568
329,0.296114,0.084159,0.218286,0.025538
330,0.289870,0.064460,0.218932,0.025093
331,0.302427,0.077397,0.219822,0.026422
332,0.267326,0.061331,0.222467,0.025146
333,0.298226,0.074330,0.224086,0.026038
334,0.303939,0.067912,0.228313,0.025802
335,0.302616,0.090816,0.230754,0.026549
336,0.325295,0.074931,0.246563,0.026505
337,0.310792,0.076882,0.235190,0.027748
338,0.325655,0.069223,0.234963,0.028124
339,0.310138,0.085243,0.235876,0.027563
340,0.285021,0.066860,0.243576,0.028374
341,0.316482,0.078885,0.248777,0.028435
342,0.334081,0.073673,0.243407,0.027547
343,0.326719,0.081656,0.247688,0.028460
344,0.286998,0.069254,0.249257,0.028492
345,0.327634,0.081735,0.249623,0.029194
346,0.333917,0.075188,0.251730,0.028924
347,0.334327,0.083644,0.262636,0.029491
348,0.308901,0.070782,0.260675,0.028959
349,0.348226,0.091858,0.274353,0.029664
350,0.344998,0.076234,0.259338,0.029470
351,0.344597,0.085200,0.228418,0.024693
352,0.280609,0.073398,0.217910,0.025143
353,0.290481,0.076894,0.224190,0.025980
354,0.298141,0.077600,0.222868,0.025843
355,0.296488,0.073553,0.223757,0.026521
356,0.272938,0.061872,0.226480,0.025543
357,0.376129,0.078134,0.260780,0.032343
358,0.370434,0.081793,0.278536,0.037890
